
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff"

="is_female",="0.0117***",="0.0117**",="0.0117***",="0.0114***",="0.0114**",="0.0114***",="0.00733"
="",="(0.00333)",="(0.00483)",="(0.00340)",="(0.00333)",="(0.00492)",="(0.00315)",="(0.00455)"

="is_poc",="0.0112**",="0.0112*",="0.0112*",="0.0119**",="0.0119*",="0.0119***",="0.00922"
="",="(0.00567)",="(0.00664)",="(0.00633)",="(0.00566)",="(0.00661)",="(0.00425)",="(0.00711)"

="is_asian",="0.00983",="0.00983*",="0.00983",="0.01000",="0.01000*",="0.01000*",="-0.00416"
="",="(0.00676)",="(0.00565)",="(0.00705)",="(0.00678)",="(0.00556)",="(0.00506)",="(0.00636)"

="is_hisp",="-0.0508**",="-0.0508*",="-0.0508**",="-0.0462**",="-0.0462",="-0.0462",="-0.0757**"
="",="(0.0208)",="(0.0266)",="(0.0200)",="(0.0214)",="(0.0283)",="(0.0337)",="(0.0302)"

="is_native",="0.0158",="0.0158",="0.0158",="0.0156",="0.0156",="0.0156",="0.00586"
="",="(0.0161)",="(0.0207)",="(0.0161)",="(0.0160)",="(0.0209)",="(0.0127)",="(0.0290)"

="age",="-0.00314***",="-0.00314***",="-0.00314***",="-0.00311***",="-0.00311***",="-0.00311***",="-0.00271*"
="",="(0.000773)",="(0.00105)",="(0.000739)",="(0.000773)",="(0.00108)",="(0.000755)",="(0.00161)"

="age2",="0.0000346***",="0.0000346***",="0.0000346***",="0.0000343***",="0.0000343***",="0.0000343***",="0.0000314*"
="",="(0.00000808)",="(0.0000114)",="(0.00000807)",="(0.00000809)",="(0.0000117)",="(0.00000806)",="(0.0000168)"

="State FE",="Yes",="Yes",="Yes",="No",="No",="No",="No"
="State Month FE",="No",="No",="No",="Yes",="Yes",="Yes",="Yes"
="Profession FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Cluster Profession Month",="No",="Yes",="No",="No",="Yes",="No",="Yes"
="Cluster State Month",="No",="No",="Yes",="No",="No",="Yes",="No"
="Observations",="44956",="44956",="44956",="44956",="44956",="44956",="18312"
="Mean of Dep. Variable",="0.0906",="0.0906",="0.0906",="0.0906",="0.0906",="0.0906",="0.0991"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
