
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff"

="is_female",="-0.00936",="0.000278",="0.0417*",="0.0163",="-0.0268",="0.0304",="0.0119",="0.0392*",="-0.0210"
="",="(0.0151)",="(0.0201)",="(0.0220)",="(0.0226)",="(0.0188)",="(0.0313)",="(0.0225)",="(0.0209)",="(0.0212)"

="is_poc",="-0.0127",="0.0426",="-0.0270",="0.0627",="0.0297",="-0.00980",="0.0299",="-0.0576",="-0.0312"
="",="(0.0199)",="(0.0356)",="(0.0308)",="(0.0911)",="(0.0327)",="(0.0636)",="(0.0282)",="(0.0485)",="(0.0307)"

="is_asian",="0.0363",="0.0398",="0.0183",="0.0109",="0.0498",="0.0221",="-0.0599*",="0.00641",="0.127"
="",="(0.0272)",="(0.0457)",="(0.0620)",="(0.0488)",="(0.0550)",="(0.0575)",="(0.0319)",="(0.0857)",="(0.0885)"

="is_hisp",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="is_native",="-0.0354",="-0.147*",="0.0785",="0.107",="0.163",="0.238",="-0.0950**",="0.0781",="0.00687"
="",="(0.0276)",="(0.0848)",="(0.0565)",="(0.109)",="(0.220)",="(0.214)",="(0.0446)",="(0.0684)",="(0.153)"

="State",="NY",="OH",="OK",="OR",="PA",="RI",="SC",="SD",="TN"
="Observations",="1770",="1099",="688",="701",="1255",="400",="693",="557",="869"
="Mean of Dep. Variable",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
