
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff",="is_layoff"

="is_female",="0.0156",="0.0172",="0.0335*",="0.0174",="0.0359*",="0.0448**",="-0.00708",="0.00344"
="",="(0.0129)",="(0.0147)",="(0.0174)",="(0.0219)",="(0.0213)",="(0.0221)",="(0.0213)",="(0.0150)"

="is_poc",="0.0161",="0.223*",="-0.0178",="0.256*",="0.245***",="0.0296",="0.0539",="-0.00837"
="",="(0.0195)",="(0.134)",="(0.0211)",="(0.139)",="(0.0865)",="(0.0583)",="(0.0696)",="(0.0321)"

="is_asian",="0.0704**",="-0.0270",="0.00761",="-0.000290",="0.0367",="0.00619",="-0.0397",="-0.0533"
="",="(0.0283)",="(0.0226)",="(0.0255)",="(0.0570)",="(0.0359)",="(0.0662)",="(0.0673)",="(0.0376)"

="is_hisp",="-0.0691*",="0",="-0.0583**",="0",="-0.0138",="0.00131",="0",="0"
="",="(0.0412)",="(.)",="(0.0281)",="(.)",="(0.0371)",="(0.0346)",="(.)",="(.)"

="is_native",="0.0327",="-0.0203",="-0.0628",="-0.183*",="-0.000447",="0.214",="0",="0.0190"
="",="(0.0667)",="(0.0161)",="(0.0387)",="(0.0965)",="(0.0677)",="(0.172)",="(.)",="(0.0667)"

="State",="TX",="UT",="VA",="VT",="WA",="WI",="WV",="WY"
="Observations",="2522",="700",="847",="689",="925",="676",="882",="733"
="Mean of Dep. Variable",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
